0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j, 0.247528-0.0350697j
0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j, 0.24016-0.0694459j
0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j, 0.228044-0.102449j
0.211417-0.133422j, 0.211417-0.133421j, 0.211417-0.133421j, 0.211417-0.133422j, 0.211417-0.133421j, 0.211417-0.13342j, 0.211417-0.13342j, 0.211417-0.133421j, 0.211417-0.133421j, 0.211417-0.13342j, 0.211417-0.13342j, 0.211417-0.133421j, 0.211417-0.133422j, 0.211417-0.133421j, 0.211417-0.133421j, 0.211417-0.133422j
0.19061-0.161755j, 0.190611-0.161751j, 0.190611-0.161751j, 0.19061-0.161755j, 0.190611-0.161751j, 0.190611-0.161747j, 0.190611-0.161747j, 0.190611-0.161751j, 0.190611-0.161751j, 0.190611-0.161747j, 0.190611-0.161747j, 0.190611-0.161751j, 0.19061-0.161755j, 0.190611-0.161751j, 0.190611-0.161751j, 0.19061-0.161755j
0.166035-0.186886j, 0.166037-0.186878j, 0.166037-0.186878j, 0.166035-0.186886j, 0.166037-0.186878j, 0.166038-0.186869j, 0.166038-0.186869j, 0.166037-0.186878j, 0.166037-0.186878j, 0.166038-0.186869j, 0.166038-0.186869j, 0.166037-0.186878j, 0.166035-0.186886j, 0.166037-0.186878j, 0.166037-0.186878j, 0.166035-0.186886j
0.138178-0.208317j, 0.138181-0.208303j, 0.138181-0.208303j, 0.138178-0.208317j, 0.138181-0.208303j, 0.138184-0.208286j, 0.138184-0.208286j, 0.138181-0.208303j, 0.138181-0.208303j, 0.138184-0.208286j, 0.138184-0.208286j, 0.138181-0.208303j, 0.138178-0.208317j, 0.138181-0.208303j, 0.138181-0.208303j, 0.138178-0.208317j
0.10759-0.225625j, 0.107596-0.225602j, 0.107596-0.225602j, 0.10759-0.225625j, 0.107596-0.225602j, 0.107602-0.225575j, 0.107602-0.225575j, 0.107596-0.225602j, 0.107596-0.225602j, 0.107602-0.225575j, 0.107602-0.225575j, 0.107596-0.225602j, 0.10759-0.225625j, 0.107596-0.225602j, 0.107596-0.225602j, 0.10759-0.225625j
0.0748771-0.238466j, 0.0748865-0.238434j, 0.0748865-0.238434j, 0.0748771-0.238466j, 0.0748865-0.238434j, 0.0748974-0.238395j, 0.0748974-0.238395j, 0.0748865-0.238434j, 0.0748865-0.238434j, 0.0748974-0.238395j, 0.0748974-0.238395j, 0.0748865-0.238434j, 0.0748771-0.238466j, 0.0748865-0.238434j, 0.0748865-0.238434j, 0.0748771-0.238466j
0.0406865-0.246588j, 0.040701-0.246547j, 0.040701-0.246547j, 0.0406865-0.246588j, 0.040701-0.246547j, 0.0407183-0.246496j, 0.0407183-0.246496j, 0.040701-0.246547j, 0.040701-0.246547j, 0.0407183-0.246496j, 0.0407183-0.246496j, 0.040701-0.246547j, 0.0406865-0.246588j, 0.040701-0.246547j, 0.040701-0.246547j, 0.0406865-0.246588j
