0.330037-0.0467597j, 0.330037-0.0467597j, 0.330037-0.0467597j, 0.330037-0.0467597j, 0.330037-0.0467597j, 0.330037-0.0467597j, 0.330037-0.0467597j, 0.330037-0.0467597j, 0.330037-0.0467597j
0.320214-0.0925945j, 0.320214-0.0925945j, 0.320214-0.0925945j, 0.320214-0.0925945j, 0.320214-0.0925945j, 0.320214-0.0925945j, 0.320214-0.0925945j, 0.320214-0.0925945j, 0.320214-0.0925945j
0.304058-0.136598j, 0.304058-0.136598j, 0.304058-0.136598j, 0.304058-0.136598j, 0.304058-0.136598j, 0.304058-0.136598j, 0.304058-0.136598j, 0.304058-0.136598j, 0.304058-0.136598j
0.281889-0.1779j, 0.281889-0.1779j, 0.281889-0.1779j, 0.281889-0.1779j, 0.281889-0.1779j, 0.281889-0.1779j, 0.281889-0.1779j, 0.281889-0.1779j, 0.281889-0.1779j
0.254146-0.215684j, 0.254146-0.215684j, 0.254146-0.215684j, 0.254146-0.215684j, 0.254146-0.215684j, 0.254146-0.215684j, 0.254146-0.215684j, 0.254146-0.215684j, 0.254146-0.215684j
0.221377-0.249202j, 0.221377-0.249202j, 0.221377-0.249202j, 0.221377-0.249202j, 0.221377-0.249202j, 0.221377-0.249202j, 0.221377-0.249202j, 0.221377-0.249202j, 0.221377-0.249202j
0.18423-0.277791j, 0.18423-0.277791j, 0.18423-0.277791j, 0.18423-0.277791j, 0.18423-0.27779j, 0.18423-0.277791j, 0.18423-0.277791j, 0.18423-0.277791j, 0.18423-0.277791j
0.14344-0.300886j, 0.14344-0.300885j, 0.14344-0.300886j, 0.14344-0.300885j, 0.14344-0.300884j, 0.14344-0.300885j, 0.14344-0.300886j, 0.14344-0.300885j, 0.14344-0.300886j
0.0998134-0.31803j, 0.0998139-0.318027j, 0.0998134-0.31803j, 0.0998139-0.318027j, 0.0998144-0.318025j, 0.0998139-0.318027j, 0.0998134-0.31803j, 0.0998139-0.318027j, 0.0998134-0.31803j
0.0542137-0.328883j, 0.0542147-0.328878j, 0.0542137-0.328883j, 0.0542147-0.328878j, 0.0542157-0.328874j, 0.0542147-0.328878j, 0.0542137-0.328883j, 0.0542147-0.328878j, 0.0542137-0.328883j
0.0075426-0.33323j, 0.00754438-0.333223j, 0.0075426-0.33323j, 0.00754438-0.333223j, 0.00754621-0.333216j, 0.00754438-0.333223j, 0.0075426-0.33323j, 0.00754438-0.333223j, 0.0075426-0.33323j
-0.0392768-0.330988j, -0.0392739-0.330978j, -0.0392768-0.330988j, -0.0392739-0.330978j, -0.0392707-0.330967j, -0.0392739-0.330978j, -0.0392768-0.330988j, -0.0392739-0.330978j, -0.0392768-0.330988j
-0.0853186-0.322199j, -0.0853141-0.322187j, -0.0853186-0.322199j, -0.0853141-0.322187j, -0.0853091-0.322171j, -0.0853141-0.322187j, -0.0853186-0.322199j, -0.0853141-0.322187j, -0.0853186-0.322199j
-0.129672-0.307038j, -0.129666-0.307023j, -0.129672-0.307038j, -0.129666-0.307023j, -0.129658-0.307003j, -0.129666-0.307023j, -0.129672-0.307038j, -0.129666-0.307023j, -0.129672-0.307038j
