0.0878512+0.996134j
0.174333+0.968882j
0.258281+0.938557j
0.339262+0.901493j
0.416295+0.848815j
0.488151+0.783876j
0.553883+0.709672j
0.612707+0.626924j
0.663879+0.535792j
0.70674+0.438086j
0.740758+0.334864j
0.765464+0.22649j
0.780512+0.115424j
0.785746+0.00351774j
0.78113-0.108401j
0.766707-0.219335j
0.742645-0.327388j
0.709264-0.431076j
0.666992-0.529431j
0.616367-0.620841j
0.558046-0.704327j
0.492771-0.778843j
0.421378-0.84333j
0.344789-0.896893j
0.264004-0.938705j
0.18006-0.968647j
0.0940282-0.986138j
0.00701759-0.990897j
-0.0798594-0.9831j
-0.165486-0.962476j
-0.248741-0.929231j
-0.32855-0.88417j
-0.403907-0.828084j
-0.473853-0.761211j
-0.537468-0.684233j
-0.593926-0.598591j
-0.642511-0.505349j
-0.682601-0.405564j
-0.71368-0.300594j
-0.73535-0.191801j
-0.74733-0.0804081j
-0.749457+0.0320968j
-0.741708+0.143967j
-0.724196+0.253942j
-0.69714+0.360804j
-0.660882+0.463051j
-0.615889+0.559257j
-0.562746+0.64826j
-0.502134+0.728948j
-0.434836+0.800183j
-0.361719+0.861167j
-0.283717+0.91116j
-0.201834+0.94936j
-0.11713+0.975264j
-0.0306967+0.98866j
0.0563594+0.989407j
0.142919+0.97738j
0.227866+0.952765j
0.310108+0.915916j
0.388586+0.867243j
0.462289+0.80741j
0.53027+0.737242j
0.591658+0.657604j
0.645661+0.569441j
0.691581+0.473946j
0.72883+0.372408j
0.75693+0.266071j
0.775518+0.156301j
0.784357+0.0445342j
0.783333-0.0678092j
0.772457-0.179303j
0.751871-0.288464j
0.721841-0.393874j
0.682754-0.49425j
0.635111-0.588283j
0.579525-0.674723j
0.516713-0.752468j
0.447484-0.82054j
0.372728-0.87805j
0.293407-0.92425j
0.210543-0.958584j
0.125199-0.980578j
0.0384755-0.989928j
-0.0485104-0.986544j
-0.134641-0.97049j
-0.218808-0.941946j
-0.299929-0.901266j
-0.37696-0.849002j
-0.448909-0.785812j
-0.514851-0.712504j
-0.573938-0.630043j
-0.625409-0.539486j
-0.668604-0.441976j
-0.702965-0.33877j
-0.728051-0.231225j
-0.74354-0.120713j
-0.749233-0.00863876j
-0.745057+0.103539j
-0.731065+0.21438j
-0.707438+0.322467j
-0.67448+0.426401j
-0.632615+0.524832j
-0.582384+0.616511j
-0.524431+0.700271j
-0.459503+0.775009j
-0.388436+0.839767j
-0.312144+0.893721j
-0.231609+0.936178j
-0.147867+0.966582j
-0.0619964+0.984553j
0.024899+0.989862j
0.1117+0.982421j
0.197291+0.962339j
0.280569+0.929885j
0.360464+0.885468j
0.435947+0.829652j
0.506048+0.763163j
0.569865+0.686861j
0.626576+0.601717j
0.675452+0.508836j
0.715865+0.409416j
0.747295+0.304727j
0.769337+0.196113j
0.781708+0.0849836j
0.78425-0.0272298j
0.77693-0.139096j
0.759842-0.24917j
0.733207-0.356032j
0.697367-0.458312j
0.652784-0.554694j
0.600032-0.643931j
0.539789-0.724879j
0.472832-0.796505j
0.400022-0.85788j
0.322295-0.908208j
0.240653-0.946852j
0.156145-0.973314j
0.069859-0.987249j
-0.0170942-0.988481j
-0.103596-0.976998j
-0.188534-0.952942j
-0.270815-0.91662j
-0.34938-0.868511j
-0.423218-0.80923j
-0.491381-0.739535j
-0.552989-0.660324j
-0.607252-0.572623j
-0.653471-0.477555j
-0.691052-0.376343j
-0.719511-0.270296j
-0.738483-0.160773j
-0.747723-0.0491806j
-0.747113+0.0630405j
-0.736661+0.174443j
-0.716502+0.2836j
-0.686896+0.389108j
-0.648223+0.489603j
-0.600982+0.583797j
-0.545781+0.670477j
-0.483329+0.748527j
-0.414432+0.816941j
-0.339975+0.874845j
-0.260917+0.921493j
-0.178275+0.956278j
-0.0931131+0.978758j
-0.00652631+0.988646j
0.080371+0.985812j
0.166461+0.970294j
0.250635+0.942292j
0.331811+0.902167j
0.408944+0.850432j
0.481042+0.787757j
0.547177+0.714951j
0.606499+0.632946j
0.658244+0.542797j
0.701747+0.445668j
0.736448+0.342809j
0.761902+0.235539j
0.77778+0.125243j
0.783879+0.0133401j
0.780121-0.0987346j
0.766554-0.209535j
0.743353-0.317635j
0.710817-0.421644j
0.669364-0.520228j
0.619529-0.612114j
0.561953-0.69612j
0.497376-0.771169j
0.426631-0.836293j
0.350627-0.890652j
0.270342-0.933552j
0.18681-0.96444j
0.101106-0.982916j
0.0143319-0.988743j
-0.0723953-0.98185j
-0.15796-0.962323j
-0.24126-0.930414j
-0.321226-0.886535j
-0.396827-0.831251j
-0.467091-0.765271j
-0.531114-0.689446j
-0.588072-0.604755j
-0.637234-0.512284j
-0.677966-0.413222j
-0.709745-0.308847j
-0.732162-0.200502j
-0.744928-0.0895787j
-0.747881+0.0224938j
-0.740981+0.134272j
-0.724319+0.244322j
-0.698109+0.351225j
-0.662688+0.453604j
-0.618512+0.550144j
-0.56615+0.639604j
-0.506277+0.720831j
-0.439662+0.79278j
-0.367162+0.854528j
-0.289712+0.905279j
-0.208308+0.944379j
-0.123996+0.971327j
-0.0378625+0.985778j
0.0489847+0.987543j
0.135428+0.976601j
0.220355+0.953094j
0.302674+0.917325j
0.381324+0.869753j
0.455295+0.810991j
0.523634+0.741797j
0.585463+0.663059j
0.639986+0.575792j
0.686501+0.481119j
0.724411+0.380259j
0.753228+0.274507j
0.772581+0.165227j
0.782221+0.0538247j
0.782026-0.0582678j
0.771997-0.169608j
0.752264-0.278761j
0.723081-0.384325j
0.684824-0.484943j
0.637985-0.579316j
0.583168-0.666232j
0.521077-0.744575j
0.452512-0.813335j
0.378356-0.871628j
0.299562-0.918703j
0.217145-0.953957j
0.132165-0.976935j
0.0457161-0.987342j
-0.04109-0.985046j
-0.127136-0.970075j
-0.211315-0.942622j
-0.292544-0.903041j
-0.369778-0.851842j
-0.442022-0.789684j
-0.508349-0.717367j
-0.567903-0.635822j
-0.61992-0.546097j
-0.663731-0.449348j
-0.698771-0.346821j
-0.72459-0.239835j
-0.740856-0.129764j
-0.74736-0.0180273j
-0.74402+0.0939377j
-0.730877+0.204691j
-0.708101+0.312808j
-0.675986+0.416897j
-0.634946+0.515619j
-0.585507+0.607704j
-0.528308+0.691967j
-0.464084+0.767323j
-0.393661+0.832805j
-0.317946+0.887569j
-0.237914+0.930912j
-0.154593+0.962275j
-0.0690571+0.981256j
0.0175941+0.987611j
0.104245+0.981257j
0.189782+0.962279j
0.273103+0.93092j
0.353136+0.887582j
0.428852+0.832826j
0.499278+0.767356j
0.563505+0.692014j
0.62071+0.607769j
0.670155+0.515707j
0.711204+0.417013j
0.743331+0.312954j
0.766121+0.204873j
0.779281+0.0941585j
0.782643-0.0177648j
0.776164-0.129457j
0.759927-0.239479j
0.734141-0.346417j
0.699139-0.448896j
0.655371-0.545595j
0.6034-0.635271j
0.543896-0.716771j
0.477624-0.789046j
0.405437-0.851166j
0.328264-0.902333j
0.247099-0.941888j
0.162985-0.969323j
0.0770054-0.984285j
-0.00973375-0.986581j
-0.0961164-0.976184j
-0.181031-0.953226j
-0.263385-0.918003j
-0.342119-0.870971j
-0.41622-0.812732j
-0.484734-0.744037j
-0.546781-0.665772j
-0.601562-0.578942j
-0.648372-0.484664j
-0.686609-0.384154j
-0.715782-0.278704j
-0.735515-0.16967j
-0.745555-0.0584561j
-0.745773+0.0535063j
-0.736166+0.164777j
-0.716858+0.273926j
-0.688099+0.379546j
-0.650257+0.480279j
-0.603821+0.574831j
-0.549388+0.661983j
-0.487659+0.740615j
-0.419428+0.809716j
-0.345573+0.868396j
-0.267045+0.9159j
-0.184854+0.951619j
-0.100058+0.975092j
-0.0137482+0.986019j
0.072965+0.984257j
0.158966+0.969832j
0.243148+0.942928j
0.324427+0.903892j
0.40176+0.853227j
0.474149+0.791586j
0.540664+0.71976j
0.60045+0.638675j
0.652737+0.549376j
0.696853+0.453009j
0.732229+0.350817j
0.758413+0.244113j
0.775066+0.134272j
0.781974+0.0227055j
0.77905-0.0891499j
0.766331-0.199855j
0.74398-0.307985j
0.712287-0.41215j
0.671658-0.511008j
0.622617-0.603289j
0.565795-0.687805j
0.501924-0.763468j
0.431824-0.829306j
0.3564-0.884471j
0.276621-0.928255j
0.193513-0.960093j
0.108147-0.979577j
0.0216205-0.986456j
-0.0649528-0.980643j
-0.150459-0.962211j
-0.233798-0.9314j
-0.313898-0.888605j
-0.389728-0.834378j
-0.460312-0.769416j
-0.524742-0.694557j
-0.58219-0.610762j
-0.631917-0.519111j
-0.673282-0.420784j
-0.705754-0.317045j
-0.728916-0.209229j
-0.742469-0.0987246j
