0.994346-0.105352j
0.977625-0.209513j
0.950025-0.311324j
0.911855-0.409651j
0.863542-0.503401j
0.805625-0.59153j
0.738751-0.67306j
0.663665-0.747084j
0.581206-0.812779j
0.492292-0.869415j
0.397914-0.916363j
0.299123-0.953103j
0.19702-0.979228j
0.0927422-0.994448j
-0.0125495-0.998596j
-0.117683-0.991628j
-0.221488-0.973623j
-0.322809-0.944784j
-0.420519-0.905433j
-0.513531-0.856011j
-0.60081-0.79707j
-0.681386-0.729267j
-0.754363-0.653358j
-0.818931-0.57019j
-0.874372-0.48069j
-0.92007-0.385855j
-0.955518-0.286742j
-0.980325-0.184455j
-0.994215-0.0801322j
-0.997036+0.0250637j
-0.988758+0.129962j
-0.969476+0.233395j
-0.939406+0.334212j
-0.898884+0.431291j
-0.848365+0.523552j
-0.788411+0.609969j
-0.719691+0.689581j
-0.642973+0.761503j
-0.559112+0.824936j
-0.469042+0.879176j
-0.373767+0.92362j
-0.274348+0.957775j
-0.171893+0.981263j
-0.067543+0.993824j
0.0375405+0.995321j
0.142188+0.985738j
0.245233+0.965185j
0.345531+0.933892j
0.441965+0.89221j
0.533463+0.840603j
0.619006+0.779649j
0.697644+0.710027j
0.768502+0.632514j
0.830794+0.547974j
0.883827+0.45735j
0.927013+0.361651j
0.959872+0.261943j
0.982042+0.159338j
0.993276+0.0549764j
0.993452-0.0499784j
0.98257-0.154358j
0.960752-0.257001j
0.928244-0.356766j
0.88541-0.452541j
0.832728-0.543263j
0.770786-0.627921j
0.700275-0.705574j
0.621981-0.775361j
0.536779-0.836504j
0.445616-0.888325j
0.34951-0.930249j
0.24953-0.961811j
0.14679-0.982662j
0.0424342-0.992571j
-0.0623753-0.991429j
-0.166472-0.979252j
-0.268697-0.956177j
-0.367913-0.922463j
-0.463017-0.878487j
-0.55295-0.82474j
-0.636712-0.761823j
-0.713371-0.690436j
-0.782077-0.611377j
-0.842065-0.525527j
-0.89267-0.433842j
-0.933329-0.337345j
-0.963592-0.237109j
-0.983124-0.134252j
-0.991709-0.0299185j
-0.989254+0.0747295j
-0.975788+0.178527j
-0.951462+0.280319j
-0.916551+0.378973j
-0.871443+0.473391j
-0.816643+0.562523j
-0.752763+0.645378j
-0.680515+0.721034j
-0.600704+0.788651j
-0.514222+0.847477j
-0.422031+0.89686j
-0.325158+0.936251j
-0.224684+0.965214j
-0.121726+0.983428j
-0.0174313+0.990692j
0.0870389+0.986927j
0.190522+0.972177j
0.291866+0.946608j
0.389943+0.910508j
0.483662+0.864278j
0.571981+0.808437j
0.653918+0.743607j
0.728561+0.670511j
0.795082+0.589964j
0.852741+0.502865j
0.900897+0.410183j
0.939017+0.312953j
0.966678+0.212256j
0.983574+0.109214j
0.989519+0.00497453j
0.984449-0.0993017j
0.968421-0.202454j
0.941617-0.303335j
0.904336-0.400821j
0.856995-0.493829j
0.800124-0.581323j
0.734356-0.662331j
0.660426-0.735952j
0.579158-0.801369j
0.491457-0.857853j
0.398302-0.904779j
0.300729-0.941625j
0.199827-0.967984j
0.0967177-0.983563j
-0.00744979-0.988191j
-0.111516-0.981819j
-0.214322-0.96452j
-0.314725-0.936487j
-0.411606-0.898035j
-0.503889-0.849594j
-0.590547-0.791704j
-0.670616-0.725012j
-0.743206-0.650262j
-0.80751-0.568287j
-0.862815-0.48j
-0.908506-0.386387j
-0.944076-0.288489j
-0.969131-0.187397j
-0.983394-0.0842371j
-0.986709+0.0198422j
-0.979039+0.123682j
-0.960474+0.226127j
-0.93122+0.326037j
-0.891606+0.4223j
-0.842075+0.513846j
-0.783179+0.599656j
-0.715576+0.678775j
-0.640019+0.750325j
-0.557352+0.813511j
-0.468496+0.86763j
-0.37444+0.912082j
-0.276233+0.946374j
-0.174968+0.970126j
-0.0717741+0.983074j
0.0322008+0.985078j
0.135799+0.976117j
0.237867+0.956292j
0.33727+0.925826j
0.432901+0.88506j
0.523697+0.834449j
0.608647+0.774559j
0.686807+0.706059j
0.757309+0.629711j
0.819369+0.546367j
0.872297+0.456956j
0.915506+0.362475j
0.948518+0.263975j
0.970965+0.162555j
0.982601+0.0593434j
0.983298-0.0445106j
0.973049-0.147851j
0.951971-0.249527j
0.9203-0.348408j
0.878391-0.443393j
0.826712-0.533425j
0.765841-0.617505j
0.696455-0.694696j
0.61933-0.76414j
0.535324-0.825067j
0.445375-0.876799j
0.350484-0.918762j
0.251709-0.950491j
0.150149-0.971634j
0.0469365-0.981958j
-0.0567804-0.98135j
-0.159847-0.969819j
-0.261116-0.947495j
-0.35946-0.914628j
-0.453786-0.871586j
-0.543044-0.81885j
-0.626241-0.757009j
-0.702453-0.686752j
-0.770832-0.608864j
-0.830619-0.524212j
-0.88115-0.43374j
-0.921863-0.338456j
-0.952308-0.239421j
-0.972147-0.137739j
-0.981162-0.0345419j
-0.979253+0.0690211j
-0.966445+0.171799j
-0.942882+0.272645j
-0.908827+0.370438j
-0.864662+0.464092j
-0.81088+0.552562j
-0.748081+0.634866j
-0.676967+0.71009j
-0.59833+0.777395j
-0.513047+0.836036j
-0.422068+0.885359j
-0.326407+0.92482j
-0.227129+0.95398j
-0.125341+0.972514j
-0.0221758+0.980222j
0.0812182+0.977016j
0.18369+0.962936j
0.284099+0.93814j
0.381328+0.902906j
0.474295+0.857627j
0.561966+0.802811j
0.643367+0.739068j
0.717592+0.667109j
0.783816+0.587739j
0.841304+0.501839j
0.889418+0.410369j
0.927622+0.314348j
0.955495+0.214842j
0.972727+0.112966j
0.979128+0.00984904j
0.97463-0.0933608j
0.959283-0.195511j
0.933262-0.295468j
0.896857-0.392119j
0.850476-0.484386j
0.794636-0.571247j
0.729961-0.651733j
0.657173-0.724951j
0.577082-0.790087j
0.490582-0.846415j
0.398636-0.893313j
0.30227-0.930259j
0.202556-0.956844j
0.100605-0.972773j
-0.00244786-0.977872j
-0.105455-0.972085j
-0.20727-0.955477j
-0.30676-0.928239j
-0.402817-0.890672j
-0.494374-0.843197j
-0.580412-0.786347j
-0.659974-0.720752j
-0.732175-0.647147j
-0.796214-0.566351j
-0.851378-0.479265j
-0.897056-0.386861j
-0.932741-0.290166j
-0.958037-0.190258j
-0.972664-0.0882507j
-0.976462+0.0147205j
-0.96939+0.117511j
-0.951529+0.218975j
-0.92308+0.317982j
-0.884361+0.413434j
-0.835805+0.504267j
-0.777953+0.589469j
-0.711453+0.668096j
-0.637045+0.739273j
-0.555559+0.802207j
